lock;threads;num_locks;cs_work;read_pct;total_ops;read_ops;write_ops;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
ticket;2;64;0;80;106215819;0;106215819;35402245;28,2468;51552416;54663403;0,943088
ticket;4;64;0;80;87945056;0;87945056;29311269;34,1166;19128565;23157922;0,826005
ticket;8;64;0;80;104164299;0;104164299;34713111;28,8076;11109348;15046822;0,738319
ticket;16;64;0;80;142350976;0;142350976;47433281;21,0822;8711883;9083343;0,959105
ticket;32;64;0;80;186014557;0;186014557;61978822;16,1345;5397195;6192616;0,871553
ticket;48;64;0;80;164399140;0;164399140;54758723;18,2619;3368425;3477197;0,968718
rw;1;64;0;80;174090880;139276098;34814782;58025689;17,2337;0;0;1
rw;2;64;0;80;114540263;91639550;22900713;38176504;26,1941;56877671;57662592;0,986388
rw;4;64;0;80;110200952;88157897;22043055;36729462;27,2261;24979905;29315084;0,852118
rw;8;64;0;80;122172317;97728721;24443596;40715280;24,5608;14074177;16607090;0,84748
rw;16;64;0;80;152527246;122010472;30516774;50823185;19,6761;8358435;10618680;0,787144
rw;32;64;0;80;167883240;134295274;33587966;55904623;17,8876;3381592;7611753;0,444259
rw;48;64;0;80;164735167;131784740;32950427;54866260;18,2261;2974188;3886928;0,765177
occ;1;64;0;80;250661845;200526277;50135568;83546678;11,9694;0;0;1
occ;2;64;0;80;213471504;170771408;42700096;71150515;14,0547;105764795;107706709;0,98197
occ;4;64;0;80;183480174;146786108;36694066;61152813;16,3525;37566645;48957253;0,767336
occ;8;64;0;80;232062690;185651325;46411365;77337890;12,9303;26579823;31428680;0,845719
occ;16;64;0;80;290234824;232177056;58057768;96705101;10,3407;16201163;19949556;0,812106
occ;32;64;0;80;340133993;272102619;68031374;113323743;8,82428;9241129;12273605;0,752927
occ;48;64;0;80;389570643;311644023;77926620;129753602;7,70692;7057434;9082716;0,777018
rw;1;64;0;95;173966925;165267018;8699907;57984549;17,246;0;0;1
rw;2;64;0;95;63277510;60113052;3164458;21090235;47,4153;31328996;31948514;0,980609
rw;4;64;0;95;87423820;83051316;4372504;29137176;34,3204;21796808;21913994;0,994652
rw;8;64;0;95;119853231;113857343;5995888;39941799;25,0364;14586416;15324800;0,951818
rw;16;64;0;95;152203875;144592093;7611782;50714328;19,7183;8518754;10594355;0,804084
rw;32;64;0;95;165407877;157135067;8272810;55101552;18,1483;3180828;7729191;0,411534
rw;48;64;0;95;154870145;147128340;7741805;51581370;19,3868;2824227;3695484;0,764237
occ;1;64;0;95;321337011;305268925;16068086;107103858;9,33673;0;0;1
occ;2;64;0;95;318669449;302738856;15930593;106213294;9,41502;158456122;160213327;0,989032
occ;4;64;0;95;228273345;216856869;11416476;76082076;13,1437;56328943;57638085;0,977287
occ;8;64;0;95;305049784;289795815;15253969;101662626;9,83646;32628878;43478939;0,750452
occ;16;64;0;95;375991473;357185094;18806379;125285323;7,98178;20517038;26404345;0,777033
occ;32;64;0;95;465901145;442597879;23303266;155200726;6,44327;13201357;16004506;0,824853
occ;48;64;0;95;575775439;546977777;28797662;191770543;5,21457;10324798;13646362;0,756597
ttas;4;1;0;80;37658373;0;37658373;12551257;79,6733;1775444;29579370;0,060023
ttas;4;4;0;80;49367200;0;49367200;16453342;60,7779;9976870;17817510;0,559947
ttas;4;16;0;80;60753498;0;60753498;20248843;49,3855;13062783;16204167;0,806137
ttas;4;64;0;80;117026042;0;117026042;39003789;25,6385;21396560;34166170;0,62625
ttas;4;256;0;80;145483923;0;145483923;48487522;20,6239;34503586;38938480;0,886105
ttas;4;1024;0;80;165234828;0;165234828;55071195;18,1583;39888012;41976431;0,950248
cas;4;1;0;80;45735269;0;45735269;15243321;65,6025;2962305;36577391;0,0809873
cas;4;4;0;80;64271538;0;64271538;21421292;46,6825;12582551;21008715;0,598921
cas;4;16;0;80;73630229;0;73630229;24540518;40,7489;16140989;19942962;0,809358
cas;4;64;0;80;104155505;0;104155505;34714527;28,8064;19559526;30453394;0,642277
cas;4;256;0;80;113289438;0;113289438;37758688;26,484;27324914;28988555;0,94261
cas;4;1024;0;80;167413209;0;167413209;55797942;17,9218;29385897;46267403;0,635132
ticket;4;1;0;80;9798031;0;9798031;3265595;306,223;2364400;2702135;0,875012
ticket;4;4;0;80;35102506;0;35102506;11699433;85,4742;8666035;9075859;0,954845
ticket;4;16;0;80;49656362;0;49656362;16550153;60,4224;9983062;14730648;0,677707
ticket;4;64;0;80;86306921;0;86306921;28765891;34,7634;15143687;25063077;0,604223
ticket;4;256;0;80;88673521;0;88673521;29554324;33,836;20214770;23962675;0,843594
ticket;4;1024;0;80;119350154;0;119350154;39778958;25,1389;22582355;33566356;0,672768
occ;4;1;0;80;67437726;53947158;13490568;22476620;44,4907;7553489;43565663;0,173382
occ;4;4;0;80;89404110;71519590;17884520;29797685;33,5597;19850651;29188179;0,680092
occ;4;16;0;80;121251097;96996527;24254570;40411897;24,7452;26773725;34234327;0,782072
occ;4;64;0;80;158260574;126610280;31650294;52746248;18,9587;37163351;42265881;0,879275
occ;4;256;0;80;185114376;148094262;37020114;61697318;16,2082;44213445;48179180;0,917688
occ;4;1024;0;80;240015543;192022008;47993535;79995968;12,5006;43132186;66057575;0,652948
ttas;4;64;0;80;116719178;0;116719178;38902115;25,7055;21557993;33976533;0,634497
ttas;4;64;50;80;79572331;0;79572331;26520827;37,7062;17346773;23890389;0,726098
ttas;4;64;100;80;62368810;0;62368810;20787207;48,1065;14671739;16435630;0,892679
ttas;4;64;500;80;36469834;0;36469834;12155133;82,2698;8411015;9524323;0,883109
ttas;4;64;1000;80;24215608;0;24215608;8070957;123,901;5673805;6241849;0,908994
cas;4;64;0;80;102462400;0;102462400;34150314;29,2823;20116383;28329955;0,710075
cas;4;64;50;80;100109296;0;100109296;33366067;29,9706;21971988;27374615;0,802641
cas;4;64;100;80;83388247;0;83388247;27792148;35,9814;19281277;22281547;0,865347
cas;4;64;500;80;40982715;0;40982715;13659332;73,21;9856310;10464879;0,941847
cas;4;64;1000;80;26000605;0;26000605;8665796;115,396;6271035;6611572;0,948494
ticket;4;64;0;80;76686754;0;76686754;25559360;39,1246;16001210;22658036;0,706205
ticket;4;64;50;80;88921570;0;88921570;29636858;33,7418;18567205;25428281;0,730179
ticket;4;64;100;80;75053683;0;75053683;25014225;39,9773;15682803;20722255;0,75681
ticket;4;64;500;80;36732483;0;36732483;12242527;81,6825;8953137;9271258;0,965687
ticket;4;64;1000;80;25223887;0;25223887;8407016;118,948;5947884;6471936;0,919027
