lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;total_ops;gets;puts;removes;ops_s;ns_op;fairness_min;fairness_max;fairness_ratio
cds-ticket;uniform;0,990000;2;65536;1000000;80;10;10;40639174;32512316;4058971;4067887;13523588;73,944868;20299475;20339699;0,998022
cds-ticket;uniform;0,990000;4;65536;1000000;80;10;10;77309632;61845197;7726565;7737870;25759462;38,820686;19122489;19532751;0,978996
cds-ticket;uniform;0,990000;8;65536;1000000;80;10;10;102952775;82359437;10291955;10301383;34259239;29,189206;12538925;13360446;0,938511
cds-std;zipfian;0,990000;1;65536;1000000;80;10;10;21249038;16998956;2123124;2126958;7080129;141,240351;0;0;1,000000
cds-std;zipfian;0,990000;2;65536;1000000;80;10;10;44285959;35428327;4423761;4433871;14751395;67,790197;21918274;22367685;0,979908
cds-std;zipfian;0,990000;4;65536;1000000;80;10;10;73289482;58630806;7324773;7333903;24388822;41,002389;18302399;18345469;0,997652
cds-std;zipfian;0,990000;8;65536;1000000;80;10;10;71011609;56808399;7098986;7104224;23630630;42,317956;8840259;8903721;0,992872
cds-tas;zipfian;0,990000;1;65536;1000000;80;10;10;42419923;33936486;4241842;4241595;14116274;70,840219;0;0;1,000000
cds-tas;zipfian;0,990000;2;65536;1000000;80;10;10;73911331;59126096;7391214;7394021;24595799;40,657348;36872665;37038666;0,995518
cds-tas;zipfian;0,990000;4;65536;1000000;80;10;10;127632823;102102493;12761321;12769009;42509574;23,524112;31848881;31944846;0,996996
cds-tas;zipfian;0,990000;8;65536;1000000;80;10;10;143818559;115053314;14376199;14389046;47932647;20,862607;17574810;18525015;0,948707
cds-ttas;zipfian;0,990000;1;65536;1000000;80;10;10;42399633;33920220;4239898;4239515;14109561;70,873927;0;0;1,000000
cds-ttas;zipfian;0,990000;2;65536;1000000;80;10;10;76671436;61337489;7665569;7668378;25514331;39,193659;35441522;41229914;0,859607
cds-ttas;zipfian;0,990000;4;65536;1000000;80;10;10;128020709;102412743;12799991;12807975;42663440;23,439272;31869042;32176219;0,990453
cds-ttas;zipfian;0,990000;8;65536;1000000;80;10;10;144856017;115883488;14479142;14493387;48203692;20,745299;17674523;18770987;0,941587
cds-cas;zipfian;0,990000;1;65536;1000000;80;10;10;24559861;19647001;2455992;2456868;8172898;122,355609;0;0;1,000000
cds-cas;zipfian;0,990000;2;65536;1000000;80;10;10;47205469;37763010;4716978;4725481;15734875;63,553094;22740256;24465213;0,929493
cds-cas;zipfian;0,990000;4;65536;1000000;80;10;10;93362228;74684975;9334276;9342977;31111349;32,142611;23141082;23551143;0,982588
cds-cas;zipfian;0,990000;8;65536;1000000;80;10;10;117597149;94076253;11754028;11766868;39136669;25,551484;14312170;15300807;0,935387
cds-ticket;zipfian;0,990000;1;65536;1000000;80;10;10;23089504;18470725;2308382;2310397;7683562;130,147967;0;0;1,000000
cds-ticket;zipfian;0,990000;2;65536;1000000;80;10;10;43179906;34543582;4313928;4322396;14369089;69,593832;21548483;21631423;0,996166
cds-ticket;zipfian;0,990000;4;65536;1000000;80;10;10;83131957;66505179;8308920;8317858;27690530;36,113429;19877305;21524378;0,923479
cds-ticket;zipfian;0,990000;8;65536;1000000;80;10;10;108750798;86998733;10871281;10880784;36216760;27,611525;13282273;13931541;0,953396
cds-std;uniform;0,990000;1;65536;1000000;90;5;5;24458893;22012340;1223907;1222646;8139278;122,861006;0;0;1,000000
cds-std;uniform;0,990000;2;65536;1000000;90;5;5;44106269;39691603;2207559;2207107;14677398;68,131966;21821347;22284922;0,979198
cds-std;uniform;0,990000;4;65536;1000000;90;5;5;90514925;81457249;4527347;4530329;30120733;33,199723;22393844;22948858;0,975815
cds-std;uniform;0,990000;8;65536;1000000;90;5;5;141007357;126898644;7053128;7055585;46922988;21,311516;16311359;18200482;0,896205
cds-tas;uniform;0,990000;1;65536;1000000;90;5;5;101475573;91329590;5071417;5074566;33768417;29,613469;0;0;1,000000
cds-tas;uniform;0,990000;2;65536;1000000;90;5;5;149083841;134179158;7450727;7453956;49611153;20,156758;73772182;75311659;0,979559
cds-tas;uniform;0,990000;4;65536;1000000;90;5;5;254191617;228771663;12707948;12712006;84587770;11,822040;63119192;63785267;0,989558
cds-tas;uniform;0,990000;8;65536;1000000;90;5;5;277681280;249905588;13886596;13889096;92506709;10,810027;33838651;35968495;0,940786
cds-ttas;uniform;0,990000;1;65536;1000000;90;5;5;95663002;86097853;4781348;4783801;31834263;31,412695;0;0;1,000000
cds-ttas;uniform;0,990000;2;65536;1000000;90;5;5;145064679;130561177;7250710;7252792;48273753;20,715190;72240571;72824108;0,991987
cds-ttas;uniform;0,990000;4;65536;1000000;90;5;5;255918876;230324503;12794429;12799944;85163013;11,742187;63522643;64391700;0,986504
cds-ttas;uniform;0,990000;8;65536;1000000;90;5;5;265981929;239377995;13300052;13303882;88525387;11,296195;31357663;34985628;0,896301
cds-cas;uniform;0,990000;1;65536;1000000;90;5;5;32928040;29635400;1646853;1645787;10957618;91,260703;0;0;1,000000
cds-cas;uniform;0,990000;2;65536;1000000;90;5;5;62488748;56237722;3125498;3125528;20794524;48,089583;30364906;32123842;0,945245
cds-cas;uniform;0,990000;4;65536;1000000;90;5;5;135405190;121858330;6771621;6775239;45058358;22,193441;33542113;34308709;0,977656
cds-cas;uniform;0,990000;8;65536;1000000;90;5;5;184367216;165919151;9221506;9226559;61351334;16,299564;22565461;23427986;0,963184
cds-ticket;uniform;0,990000;1;65536;1000000;90;5;5;26597259;23937073;1330486;1329700;8850889;112,982994;0;0;1,000000
cds-ticket;uniform;0,990000;2;65536;1000000;90;5;5;51236551;46108732;2564201;2563618;17050097;58,650689;25219819;26016732;0,969369
cds-ticket;uniform;0,990000;4;65536;1000000;90;5;5;98068657;88254461;4905033;4909163;32682649;30,597275;24345326;24653159;0,987513
cds-ticket;uniform;0,990000;8;65536;1000000;90;5;5;126092308;113475260;6307488;6309560;41959652;23,832418;15350163;15966391;0,961405
cds-std;zipfian;0,990000;1;65536;1000000;20;40;40;12860204;2571417;5142534;5146253;4279536;233,670175;0;0;1,000000
cds-std;zipfian;0,990000;2;65536;1000000;20;40;40;27859887;5570849;11146346;11142692;9271038;107,862780;13790850;14069037;0,980227
cds-std;zipfian;0,990000;4;65536;1000000;20;40;40;41304546;8262032;16521252;16521262;13745073;72,753341;10317372;10347315;0,997106
cds-std;zipfian;0,990000;8;65536;1000000;20;40;40;38796509;7758895;15521241;15516373;12924745;77,370963;4823053;4867639;0,990840
cds-tas;zipfian;0,990000;1;65536;1000000;20;40;40;17220033;3443852;6886119;6890062;5730600;174,501797;0;0;1,000000
cds-tas;zipfian;0,990000;2;65536;1000000;20;40;40;32339005;6467214;12935606;12936185;10761598;92,922997;16062716;16276289;0,986878
cds-tas;zipfian;0,990000;4;65536;1000000;20;40;40;55659822;11131064;22263150;22265608;18522079;53,989617;13704384;14030802;0,976736
cds-tas;zipfian;0,990000;8;65536;1000000;20;40;40;58850386;11771611;23542027;23536748;19605706;51,005557;7241474;7491062;0,966682
cds-ttas;zipfian;0,990000;1;65536;1000000;20;40;40;17783519;3556278;7111711;7115530;5917921;168,978247;0;0;1,000000
cds-ttas;zipfian;0,990000;2;65536;1000000;20;40;40;33315391;6662335;13326291;13326765;11086510;90,199706;16634690;16680701;0,997242
cds-ttas;zipfian;0,990000;4;65536;1000000;20;40;40;54920668;10984164;21966431;21970073;18290819;54,672235;13353696;14125712;0,945347
cds-ttas;zipfian;0,990000;8;65536;1000000;20;40;40;60111560;12022858;24047297;24041405;20013588;49,966053;7262345;7735987;0,938774
cds-cas;zipfian;0,990000;1;65536;1000000;20;40;40;16631941;3325050;6651592;6655299;5534686;180,678716;0;0;1,000000
cds-cas;zipfian;0,990000;2;65536;1000000;20;40;40;31427125;6284532;12572838;12569755;10458084;95,619808;15352351;16074774;0,955059
cds-cas;zipfian;0,990000;4;65536;1000000;20;40;40;51032779;10207384;20409757;20415638;17009381;58,791084;11931476;13593802;0,877714
cds-cas;zipfian;0,990000;8;65536;1000000;20;40;40;58527251;11706621;23413178;23407452;19504342;51,270633;7195972;7583032;0,948957
cds-ticket;zipfian;0,990000;1;65536;1000000;20;40;40;13960347;2791344;5583316;5585687;4645642;215,255493;0;0;1,000000
cds-ticket;zipfian;0,990000;2;65536;1000000;20;40;40;26194745;5238358;10478657;10477730;8725251;114,609872;12578882;13615863;0,923840
cds-ticket;zipfian;0,990000;4;65536;1000000;20;40;40;45024758;9003999;18009130;18011629;14998071;66,675239;11226384;11284026;0,994892
cds-ticket;zipfian;0,990000;8;65536;1000000;20;40;40;58971202;11795320;23590677;23585205;19646569;50,899471;7269204;7486365;0,970992
