arch;lock;dist;zipf_theta;threads;buckets;key_range;read_pct;insert_pct;delete_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
arm64;wh-default;zipfian;0,990000;11;65536;100000;95;2;3;1;5,8133e+07;5,8133e+07;5,8133e+07;5,8133e+07;5,8133e+07;5,8133e+07;;17,2019;17,2019;17,2019;17,2019;17,2019;17,2019;;0,855487;0,855487;0,855487;0,855487;0,855487;0,855487;
arm64;wh-default;zipfian;0,990000;2;65536;1000;50;25;25;1;1,80824e+07;1,80824e+07;1,80824e+07;1,80824e+07;1,80824e+07;1,80824e+07;;55,3024;55,3024;55,3024;55,3024;55,3024;55,3024;;0,999799;0,999799;0,999799;0,999799;0,999799;0,999799;
arm64;wh-default;zipfian;0,990000;2;65536;1000;95;2;3;1;2,33176e+07;2,33176e+07;2,33176e+07;2,33176e+07;2,33176e+07;2,33176e+07;;42,8861;42,8861;42,8861;42,8861;42,8861;42,8861;;0,997379;0,997379;0,997379;0,997379;0,997379;0,997379;
arm64;wh-default;zipfian;0,990000;2;65536;100000;50;25;25;1;1,10459e+07;1,10459e+07;1,10459e+07;1,10459e+07;1,10459e+07;1,10459e+07;;90,5312;90,5312;90,5312;90,5312;90,5312;90,5312;;0,997466;0,997466;0,997466;0,997466;0,997466;0,997466;
arm64;wh-default;zipfian;0,990000;2;65536;100000;95;2;3;1;2,21521e+07;2,21521e+07;2,21521e+07;2,21521e+07;2,21521e+07;2,21521e+07;;45,1425;45,1425;45,1425;45,1425;45,1425;45,1425;;0,998172;0,998172;0,998172;0,998172;0,998172;0,998172;
arm64;wh-default;zipfian;0,990000;4;65536;1000;50;25;25;1;2,89616e+07;2,89616e+07;2,89616e+07;2,89616e+07;2,89616e+07;2,89616e+07;;34,5284;34,5284;34,5284;34,5284;34,5284;34,5284;;0,996842;0,996842;0,996842;0,996842;0,996842;0,996842;
arm64;wh-default;zipfian;0,990000;4;65536;1000;95;2;3;1;3,83201e+07;3,83201e+07;3,83201e+07;3,83201e+07;3,83201e+07;3,83201e+07;;26,096;26,096;26,096;26,096;26,096;26,096;;0,997841;0,997841;0,997841;0,997841;0,997841;0,997841;
arm64;wh-default;zipfian;0,990000;4;65536;100000;50;25;25;1;1,81093e+07;1,81093e+07;1,81093e+07;1,81093e+07;1,81093e+07;1,81093e+07;;55,2201;55,2201;55,2201;55,2201;55,2201;55,2201;;0,971416;0,971416;0,971416;0,971416;0,971416;0,971416;
arm64;wh-default;zipfian;0,990000;4;65536;100000;95;2;3;1;4,06548e+07;4,06548e+07;4,06548e+07;4,06548e+07;4,06548e+07;4,06548e+07;;24,5973;24,5973;24,5973;24,5973;24,5973;24,5973;;0,901869;0,901869;0,901869;0,901869;0,901869;0,901869;
arm64;wh-default;zipfian;0,990000;8;65536;1000;50;25;25;1;1,60189e+07;1,60189e+07;1,60189e+07;1,60189e+07;1,60189e+07;1,60189e+07;;62,4262;62,4262;62,4262;62,4262;62,4262;62,4262;;0,993709;0,993709;0,993709;0,993709;0,993709;0,993709;
arm64;wh-default;zipfian;0,990000;8;65536;1000;95;2;3;1;2,54176e+07;2,54176e+07;2,54176e+07;2,54176e+07;2,54176e+07;2,54176e+07;;39,3429;39,3429;39,3429;39,3429;39,3429;39,3429;;0,940435;0,940435;0,940435;0,940435;0,940435;0,940435;
arm64;wh-default;zipfian;0,990000;8;65536;100000;50;25;25;1;1,88105e+07;1,88105e+07;1,88105e+07;1,88105e+07;1,88105e+07;1,88105e+07;;53,1619;53,1619;53,1619;53,1619;53,1619;53,1619;;0,962005;0,962005;0,962005;0,962005;0,962005;0,962005;
arm64;wh-default;zipfian;0,990000;8;65536;100000;95;2;3;1;5,4169e+07;5,4169e+07;5,4169e+07;5,4169e+07;5,4169e+07;5,4169e+07;;18,4607;18,4607;18,4607;18,4607;18,4607;18,4607;;0,866337;0,866337;0,866337;0,866337;0,866337;0,866337;
arm64;wh-default;zipfian;1,200000;1;65536;1000;95;2;3;1;1,38355e+07;1,38355e+07;1,38355e+07;1,38355e+07;1,38355e+07;1,38355e+07;;72,2779;72,2779;72,2779;72,2779;72,2779;72,2779;;1;1;1;1;1;1;
arm64;wh-default;zipfian;1,200000;11;65536;1000;95;2;3;1;1,61215e+07;1,61215e+07;1,61215e+07;1,61215e+07;1,61215e+07;1,61215e+07;;62,0291;62,0291;62,0291;62,0291;62,0291;62,0291;;0,883166;0,883166;0,883166;0,883166;0,883166;0,883166;
arm64;wh-default;zipfian;1,200000;2;65536;1000;95;2;3;1;2,42565e+07;2,42565e+07;2,42565e+07;2,42565e+07;2,42565e+07;2,42565e+07;;41,226;41,226;41,226;41,226;41,226;41,226;;0,997154;0,997154;0,997154;0,997154;0,997154;0,997154;
arm64;wh-default;zipfian;1,200000;4;65536;1000;95;2;3;1;3,7479e+07;3,7479e+07;3,7479e+07;3,7479e+07;3,7479e+07;3,7479e+07;;26,6816;26,6816;26,6816;26,6816;26,6816;26,6816;;0,994716;0,994716;0,994716;0,994716;0,994716;0,994716;
arm64;wh-default;zipfian;1,200000;8;65536;1000;95;2;3;1;2,10923e+07;2,10923e+07;2,10923e+07;2,10923e+07;2,10923e+07;2,10923e+07;;47,4106;47,4106;47,4106;47,4106;47,4106;47,4106;;0,939595;0,939595;0,939595;0,939595;0,939595;0,939595;
arm64;wh-occ;uniform;0,990000;1;65536;100000;95;2;3;1;1,81104e+07;1,81104e+07;1,81104e+07;1,81104e+07;1,81104e+07;1,81104e+07;;55,2168;55,2168;55,2168;55,2168;55,2168;55,2168;;1;1;1;1;1;1;
arm64;wh-occ;uniform;0,990000;11;65536;100000;95;2;3;1;7,16802e+07;7,16802e+07;7,16802e+07;7,16802e+07;7,16802e+07;7,16802e+07;;13,9508;13,9508;13,9508;13,9508;13,9508;13,9508;;0,806236;0,806236;0,806236;0,806236;0,806236;0,806236;
arm64;wh-occ;uniform;0,990000;2;65536;100000;95;2;3;1;2,87929e+07;2,87929e+07;2,87929e+07;2,87929e+07;2,87929e+07;2,87929e+07;;34,7308;34,7308;34,7308;34,7308;34,7308;34,7308;;0,999376;0,999376;0,999376;0,999376;0,999376;0,999376;
arm64;wh-occ;uniform;0,990000;4;65536;100000;95;2;3;1;5,80662e+07;5,80662e+07;5,80662e+07;5,80662e+07;5,80662e+07;5,80662e+07;;17,2217;17,2217;17,2217;17,2217;17,2217;17,2217;;0,846258;0,846258;0,846258;0,846258;0,846258;0,846258;
arm64;wh-occ;uniform;0,990000;8;65536;100000;95;2;3;1;6,39845e+07;6,39845e+07;6,39845e+07;6,39845e+07;6,39845e+07;6,39845e+07;;15,6288;15,6288;15,6288;15,6288;15,6288;15,6288;;0,615036;0,615036;0,615036;0,615036;0,615036;0,615036;
arm64;wh-occ;zipfian;0,990000;1;65536;1000;50;25;25;1;1,07968e+07;1,07968e+07;1,07968e+07;1,07968e+07;1,07968e+07;1,07968e+07;;92,6202;92,6202;92,6202;92,6202;92,6202;92,6202;;1;1;1;1;1;1;
arm64;wh-occ;zipfian;0,990000;1;65536;1000;95;2;3;1;1,32706e+07;1,32706e+07;1,32706e+07;1,32706e+07;1,32706e+07;1,32706e+07;;75,3545;75,3545;75,3545;75,3545;75,3545;75,3545;;1;1;1;1;1;1;
arm64;wh-occ;zipfian;0,990000;1;65536;100000;50;25;25;1;6,5028e+06;6,5028e+06;6,5028e+06;6,5028e+06;6,5028e+06;6,5028e+06;;153,78;153,78;153,78;153,78;153,78;153,78;;1;1;1;1;1;1;
arm64;wh-occ;zipfian;0,990000;1;65536;100000;95;2;3;1;1,14904e+07;1,14904e+07;1,14904e+07;1,14904e+07;1,14904e+07;1,14904e+07;;87,0294;87,0294;87,0294;87,0294;87,0294;87,0294;;1;1;1;1;1;1;
arm64;wh-occ;zipfian;0,990000;11;65536;1000;50;25;25;1;7,45063e+06;7,45063e+06;7,45063e+06;7,45063e+06;7,45063e+06;7,45063e+06;;134,217;134,217;134,217;134,217;134,217;134,217;;0,969446;0,969446;0,969446;0,969446;0,969446;0,969446;
arm64;wh-occ;zipfian;0,990000;11;65536;1000;95;2;3;1;7,14785e+06;7,14785e+06;7,14785e+06;7,14785e+06;7,14785e+06;7,14785e+06;;139,902;139,902;139,902;139,902;139,902;139,902;;0,948674;0,948674;0,948674;0,948674;0,948674;0,948674;
arm64;wh-occ;zipfian;0,990000;11;65536;100000;50;25;25;1;1,93959e+07;1,93959e+07;1,93959e+07;1,93959e+07;1,93959e+07;1,93959e+07;;51,5573;51,5573;51,5573;51,5573;51,5573;51,5573;;0,917768;0,917768;0,917768;0,917768;0,917768;0,917768;
arm64;wh-occ;zipfian;0,990000;11;65536;100000;95;2;3;1;5,83311e+07;5,83311e+07;5,83311e+07;5,83311e+07;5,83311e+07;5,83311e+07;;17,1435;17,1435;17,1435;17,1435;17,1435;17,1435;;0,886228;0,886228;0,886228;0,886228;0,886228;0,886228;
arm64;wh-occ;zipfian;0,990000;2;65536;1000;50;25;25;1;1,85614e+07;1,85614e+07;1,85614e+07;1,85614e+07;1,85614e+07;1,85614e+07;;53,8752;53,8752;53,8752;53,8752;53,8752;53,8752;;0,998128;0,998128;0,998128;0,998128;0,998128;0,998128;
arm64;wh-occ;zipfian;0,990000;2;65536;1000;95;2;3;1;2,36602e+07;2,36602e+07;2,36602e+07;2,36602e+07;2,36602e+07;2,36602e+07;;42,265;42,265;42,265;42,265;42,265;42,265;;0,999213;0,999213;0,999213;0,999213;0,999213;0,999213;
arm64;wh-occ;zipfian;0,990000;2;65536;100000;50;25;25;1;1,10962e+07;1,10962e+07;1,10962e+07;1,10962e+07;1,10962e+07;1,10962e+07;;90,1213;90,1213;90,1213;90,1213;90,1213;90,1213;;0,995048;0,995048;0,995048;0,995048;0,995048;0,995048;
arm64;wh-occ;zipfian;0,990000;2;65536;100000;95;2;3;1;2,12152e+07;2,12152e+07;2,12152e+07;2,12152e+07;2,12152e+07;2,12152e+07;;47,1359;47,1359;47,1359;47,1359;47,1359;47,1359;;0,998987;0,998987;0,998987;0,998987;0,998987;0,998987;
arm64;wh-occ;zipfian;0,990000;4;65536;1000;50;25;25;1;2,93223e+07;2,93223e+07;2,93223e+07;2,93223e+07;2,93223e+07;2,93223e+07;;34,1037;34,1037;34,1037;34,1037;34,1037;34,1037;;0,983622;0,983622;0,983622;0,983622;0,983622;0,983622;
arm64;wh-occ;zipfian;0,990000;4;65536;1000;95;2;3;1;3,60414e+07;3,60414e+07;3,60414e+07;3,60414e+07;3,60414e+07;3,60414e+07;;27,7458;27,7458;27,7458;27,7458;27,7458;27,7458;;0,982556;0,982556;0,982556;0,982556;0,982556;0,982556;
arm64;wh-occ;zipfian;0,990000;4;65536;100000;50;25;25;1;1,8626e+07;1,8626e+07;1,8626e+07;1,8626e+07;1,8626e+07;1,8626e+07;;53,6884;53,6884;53,6884;53,6884;53,6884;53,6884;;0,973124;0,973124;0,973124;0,973124;0,973124;0,973124;
arm64;wh-occ;zipfian;0,990000;4;65536;100000;95;2;3;1;4,12967e+07;4,12967e+07;4,12967e+07;4,12967e+07;4,12967e+07;4,12967e+07;;24,215;24,215;24,215;24,215;24,215;24,215;;0,960314;0,960314;0,960314;0,960314;0,960314;0,960314;
arm64;wh-occ;zipfian;0,990000;8;65536;1000;50;25;25;1;1,35623e+07;1,35623e+07;1,35623e+07;1,35623e+07;1,35623e+07;1,35623e+07;;73,734;73,734;73,734;73,734;73,734;73,734;;0,993487;0,993487;0,993487;0,993487;0,993487;0,993487;
arm64;wh-occ;zipfian;0,990000;8;65536;1000;95;2;3;1;1,26749e+07;1,26749e+07;1,26749e+07;1,26749e+07;1,26749e+07;1,26749e+07;;78,8961;78,8961;78,8961;78,8961;78,8961;78,8961;;0,977888;0,977888;0,977888;0,977888;0,977888;0,977888;
arm64;wh-occ;zipfian;0,990000;8;65536;100000;50;25;25;1;1,8983e+07;1,8983e+07;1,8983e+07;1,8983e+07;1,8983e+07;1,8983e+07;;52,6786;52,6786;52,6786;52,6786;52,6786;52,6786;;0,955496;0,955496;0,955496;0,955496;0,955496;0,955496;
arm64;wh-occ;zipfian;0,990000;8;65536;100000;95;2;3;1;5,11244e+07;5,11244e+07;5,11244e+07;5,11244e+07;5,11244e+07;5,11244e+07;;19,5601;19,5601;19,5601;19,5601;19,5601;19,5601;;0,889453;0,889453;0,889453;0,889453;0,889453;0,889453;
arm64;wh-occ;zipfian;1,200000;1;65536;1000;95;2;3;1;1,35765e+07;1,35765e+07;1,35765e+07;1,35765e+07;1,35765e+07;1,35765e+07;;73,6566;73,6566;73,6566;73,6566;73,6566;73,6566;;1;1;1;1;1;1;
arm64;wh-occ;zipfian;1,200000;11;65536;1000;95;2;3;1;5,91752e+06;5,91752e+06;5,91752e+06;5,91752e+06;5,91752e+06;5,91752e+06;;168,99;168,99;168,99;168,99;168,99;168,99;;0,938123;0,938123;0,938123;0,938123;0,938123;0,938123;
arm64;wh-occ;zipfian;1,200000;2;65536;1000;95;2;3;1;2,3353e+07;2,3353e+07;2,3353e+07;2,3353e+07;2,3353e+07;2,3353e+07;;42,8211;42,8211;42,8211;42,8211;42,8211;42,8211;;0,99743;0,99743;0,99743;0,99743;0,99743;0,99743;
arm64;wh-occ;zipfian;1,200000;4;65536;1000;95;2;3;1;3,36412e+07;3,36412e+07;3,36412e+07;3,36412e+07;3,36412e+07;3,36412e+07;;29,7254;29,7254;29,7254;29,7254;29,7254;29,7254;;0,996371;0,996371;0,996371;0,996371;0,996371;0,996371;
arm64;wh-occ;zipfian;1,200000;8;65536;1000;95;2;3;1;1,0029e+07;1,0029e+07;1,0029e+07;1,0029e+07;1,0029e+07;1,0029e+07;;99,7112;99,7112;99,7112;99,7112;99,7112;99,7112;;0,959083;0,959083;0,959083;0,959083;0,959083;0,959083;
arm64;wh-occ-opt;uniform;0,990000;1;65536;100000;95;2;3;1;1,88424e+07;1,88424e+07;1,88424e+07;1,88424e+07;1,88424e+07;1,88424e+07;;53,0719;53,0719;53,0719;53,0719;53,0719;53,0719;;1;1;1;1;1;1;
arm64;wh-occ-opt;uniform;0,990000;11;65536;100000;95;2;3;1;9,40676e+07;9,40676e+07;9,40676e+07;9,40676e+07;9,40676e+07;9,40676e+07;;10,6306;10,6306;10,6306;10,6306;10,6306;10,6306;;0,398726;0,398726;0,398726;0,398726;0,398726;0,398726;
arm64;wh-occ-opt;uniform;0,990000;2;65536;100000;95;2;3;1;3,54815e+07;3,54815e+07;3,54815e+07;3,54815e+07;3,54815e+07;3,54815e+07;;28,1837;28,1837;28,1837;28,1837;28,1837;28,1837;;0,99764;0,99764;0,99764;0,99764;0,99764;0,99764;
arm64;wh-occ-opt;uniform;0,990000;4;65536;100000;95;2;3;1;6,88752e+07;6,88752e+07;6,88752e+07;6,88752e+07;6,88752e+07;6,88752e+07;;14,519;14,519;14,519;14,519;14,519;14,519;;0,9983;0,9983;0,9983;0,9983;0,9983;0,9983;
arm64;wh-occ-opt;uniform;0,990000;8;65536;100000;95;2;3;1;8,52973e+07;8,52973e+07;8,52973e+07;8,52973e+07;8,52973e+07;8,52973e+07;;11,7237;11,7237;11,7237;11,7237;11,7237;11,7237;;0,69873;0,69873;0,69873;0,69873;0,69873;0,69873;
