lock;workload;threads;cs_work;read_pct;n;ops_s_median;ops_s_mean;ops_s_p25;ops_s_p75;ops_s_min;ops_s_max;ops_s_cov_pct;ns_op_median;ns_op_mean;ns_op_p25;ns_op_p75;ns_op_min;ns_op_max;ns_op_cov_pct;fairness_ratio_median;fairness_ratio_mean;fairness_ratio_p25;fairness_ratio_p75;fairness_ratio_min;fairness_ratio_max;fairness_ratio_cov_pct
rcu;rcu;16;0;100;5;1,89793e+09;1,898e+09;1,89648e+09;1,89956e+09;1,89619e+09;1,89961e+09;0,0818284;0,526889;0,526869;0,526438;0,527292;0,526425;0,527373;0,0818232;0,951687;0,951263;0,949515;0,952799;0,948353;0,9532;0,196889
rcu;rcu;16;0;50;5;2,44671e+06;2,46541e+06;2,40137e+06;2,53881e+06;2,39755e+06;2,55379e+06;2,85394;408,712;405,874;393,9;416,429;391,575;417,093;2,83428;0,720658;0,675405;0,572075;0,756107;0,513111;0,784203;15,6971
rcu;rcu;2;0;0;5;3,58143e+06;3,60021e+06;3,42522e+06;3,78458e+06;3,4138e+06;3,85605e+06;5,19744;279,218;278,355;264,324;291,955;259,333;292,929;5,1315;0,725941;0,656897;0,339852;0,93942;0,119839;0,956694;51,7836
rcu;rcu;2;0;100;5;2,70865e+08;2,70905e+08;2,70669e+08;2,71161e+08;2,70562e+08;2,71215e+08;0,0963029;3,69187;3,69133;3,68785;3,69454;3,6871;3,69601;0,0963117;0,99382;0,990763;0,98483;0,995167;0,976302;0,996148;0,822947
rcu;rcu;2;0;50;5;4,92388e+06;4,96774e+06;4,56714e+06;5,39027e+06;4,35732e+06;5,41943e+06;8,83015;203,092;202,596;185,525;219,418;184,521;229,499;9,08236;0,495509;0,564401;0,329663;0,833585;0,325544;0,997427;49,6095
rcu;rcu;32;0;0;5;1,68766e+06;1,68512e+06;1,67045e+06;1,69852e+06;1,66265e+06;1,70737e+06;0,972611;592,537;593,475;588,763;598,656;585,695;601,448;0,973032;0,006211;0,0115086;0,0041215;0,0215445;0,002874;0,036423;121,686
rcu;rcu;32;0;100;5;2,7186e+09;2,71897e+09;2,71777e+09;2,72036e+09;2,71716e+09;2,72134e+09;0,0568091;0,367836;0,367786;0,367599;0,367949;0,367466;0,368031;0,0567739;0,47791;0,477426;0,476423;0,478186;0,47511;0,478213;0,27413
rcu;rcu;32;0;50;5;1,73446e+06;1,67755e+06;1,5266e+06;1,80005e+06;1,46658e+06;1,82649e+06;8,81293;576,547;599,999;555,659;656,065;547,499;681,86;9,21685;0,300928;0,320961;0,29016;0,361778;0,281044;0,399248;14,4509
rcu;rcu;4;0;0;5;2,82536e+06;2,84922e+06;2,7626e+06;2,94776e+06;2,7397e+06;3,01977e+06;3,78063;353,937;351,366;339,444;362,002;331,151;365,003;3,69078;0,525238;0,521565;0,344272;0,697021;0,248952;0,701144;36,208
rcu;rcu;4;0;100;5;5,21476e+08;5,21487e+08;5,21382e+08;5,21597e+08;5,21382e+08;5,21715e+08;0,0260775;1,91763;1,91759;1,91719;1,91798;1,91676;1,91798;0,0260684;0,960679;0,960522;0,959449;0,961518;0,959195;0,961558;0,109707
rcu;rcu;4;0;50;5;3,96386e+06;3,90416e+06;3,77915e+06;3,99931e+06;3,70495e+06;4,03151e+06;3,29043;252,279;256,364;250,059;264,712;248,046;269,909;3,36507;0,775484;0,807567;0,770546;0,86063;0,767324;0,886766;6,43096
rcu;rcu;6;0;0;5;2,61403e+06;2,54791e+06;2,37417e+06;2,68859e+06;2,24858e+06;2,7198e+06;7,28517;382,551;394,26;371,992;422,382;367,674;444,725;7,76215;0,2406;0,285326;0,1261;0,466915;0,084553;0,684045;81,5184
rcu;rcu;6;0;100;5;7,61728e+08;7,62064e+08;7,61097e+08;7,632e+08;7,60708e+08;7,6366e+08;0,150951;1,3128;1,31223;1,31027;1,31389;1,30948;1,31457;0,150893;0,987624;0,987227;0,986291;0,987965;0,985697;0,988203;0,0989632
rcu;rcu;6;0;50;5;3,42751e+06;3,43892e+06;3,29604e+06;3,5875e+06;3,1962e+06;3,60502e+06;4,7262;291,757;291,321;278,752;303,673;277,391;312,872;4,83696;0,826169;0,812056;0,726077;0,890979;0,680665;0,903502;10,9937
rcu;rcu;8;0;0;5;2,5795e+06;2,60628e+06;2,56229e+06;2,66367e+06;2,55475e+06;2,67188e+06;2,0503;387,672;383,816;375,426;390,278;374,268;391,428;2,03701;0,036102;0,0363602;0,0326065;0,040243;0,03145;0,042147;11,3667
rcu;rcu;8;0;100;5;9,91873e+08;9,90924e+08;9,88725e+08;9,9265e+08;9,87394e+08;9,93149e+08;0,228855;1,00819;1,00916;1,0074;1,01141;1,0069;1,01277;0,229196;0,908159;0,907714;0,90695;0,908257;0,90575;0,908284;0,121128
rcu;rcu;8;0;50;5;3,22038e+06;3,21851e+06;3,15166e+06;3,28442e+06;3,14884e+06;3,34706e+06;2,48049;310,522;310,853;304,579;317,293;298,769;317,577;2,43652;0,707105;0,68672;0,619885;0,743363;0,614662;0,779434;9,8826
rw;mutex;1;0;100;5;1,04679e+08;1,0463e+08;1,04473e+08;1,04764e+08;1,04422e+08;1,04818e+08;0,150338;9,55301;9,55747;9,54526;9,57189;9,54033;9,57656;0,150383;1;1;1;1;1;1;0
rw;mutex;16;0;100;5;1,27365e+06;1,25176e+06;1,1804e+06;1,31217e+06;1,1712e+06;1,32104e+06;5,40214;785,143;800,77;762,129;847,224;756,977;853,828;5,47433;0,478849;0,549451;0,426896;0,707307;0,419035;0,723337;26,6086
rw;mutex;2;0;100;5;2,32625e+07;2,32187e+07;2,22978e+07;2,41177e+07;2,19692e+07;2,44912e+07;4,20308;42,9876;43,1297;41,4732;44,8572;40,831;45,5183;4,20808;0,133422;0,13305;0,120181;0,145732;0,118952;0,147001;9,64909
rw;mutex;32;0;100;5;744656;744605;726303;762882;722428;772239;2,63786;1342,9;1343,74;1311,01;1376,87;1294,93;1384,22;2,6215;0,317397;0,324256;0,219464;0,432478;0,192892;0,471929;34,4657
rw;mutex;4;0;100;5;6,12395e+06;6,18711e+06;5,92664e+06;6,47915e+06;5,88795e+06;6,49866e+06;4,52849;163,293;161,89;154,343;168,737;153,878;169,838;4,50237;0,734403;0,742689;0,697236;0,792285;0,695968;0,822002;7,02534
rw;mutex;6;0;100;5;3,57947e+06;3,57783e+06;3,53033e+06;3,62451e+06;3,51159e+06;3,64076e+06;1,40473;279,371;279,543;275,905;283,268;274,668;284,771;1,40643;0,481881;0,523554;0,456236;0,61171;0,439094;0,625146;15,777
rw;mutex;8;0;100;5;2,63901e+06;2,64117e+06;2,6361e+06;2,64731e+06;2,63411e+06;2,65552e+06;0,31338;378,929;378,623;377,745;379,349;376,575;379,635;0,312291;0,508872;0,533929;0,481607;0,59878;0,470222;0,617732;11,6557
rw;rw;1;0;0;5;6,69006e+07;6,7119e+07;6,67095e+07;6,76378e+07;6,66365e+07;6,77545e+07;0,729651;14,9476;14,8995;14,7847;14,9904;14,7592;15,0068;0,727847;1;1;1;1;1;1;0
rw;rw;1;0;100;5;4,87828e+07;4,88266e+07;4,87681e+07;4,8907e+07;4,87577e+07;4,89369e+07;0,157633;20,499;20,4807;20,447;20,5052;20,4345;20,5096;0,157503;1;1;1;1;1;1;0
rw;rw;1;0;50;5;5,12255e+07;5,12315e+07;5,12162e+07;5,12498e+07;5,12113e+07;5,12719e+07;0,0457651;19,5215;19,5193;19,5123;19,5251;19,5039;19,527;0,0457431;1;1;1;1;1;1;0
rw;rw;16;0;0;5;954830;956828;938599;976057;928669;981404;2,13066;1047,31;1045,5;1024,56;1065,54;1018,95;1076,81;2,13887;0,614701;0,491118;0,196206;0,724239;0,048556;0,738093;59,5293
rw;rw;16;0;100;5;6,12774e+06;5,84455e+06;4,95474e+06;6,59278e+06;4,82649e+06;6,70462e+06;14,4205;163,192;174,113;151,725;201,962;149,151;207,19;15,034;0,633007;0,628904;0,574904;0,680854;0,535146;0,718549;10,4418
rw;rw;16;0;50;5;811951;814936;804338;827028;800562;834072;1,56871;1231,6;1227,33;1209,24;1243,28;1198,94;1249,12;1,55788;0,624692;0,619902;0,562898;0,674511;0,510695;0,68098;10,8274
rw;rw;2;0;0;5;6,21306e+06;6,43202e+06;3,89417e+06;9,07934e+06;3,5475e+06;9,19672e+06;40,5525;160,951;179,792;110,159;258,846;108,734;281,888;42,7383;0,413751;0,41056;0,220506;0,599019;0,112707;0,775596;58,2642
rw;rw;2;0;100;5;1,05362e+07;1,16897e+07;1,02373e+07;1,37189e+07;9,9598e+06;1,4994e+07;17,7342;94,9106;87,4945;73,5274;97,7535;66,6931;100,404;15,7865;0,271251;0,273067;0,259783;0,287259;0,256273;0,296063;5,61006
rw;rw;2;0;50;5;6,73078e+06;6,65619e+06;6,50984e+06;6,76524e+06;6,44736e+06;6,78106e+06;2,1312;148,571;150,291;147,815;153,628;147,47;155,102;2,15791;0,332641;0,307979;0,254831;0,348796;0,184445;0,359498;22,8024
rw;rw;32;0;0;5;447107;503711;436242;599483;428948;614874;17,5426;2236,6;2032,18;1669,2;2292,95;1626,35;2331,28;16,4664;0,050289;0,112408;0,028425;0,22745;0,019988;0,290242;101,882
rw;rw;32;0;100;5;5,22546e+06;5,2148e+06;5,03408e+06;5,39018e+06;5,00943e+06;5,51291e+06;3,81468;191,371;191,982;185,619;198,651;181,392;199,623;3,75538;0,389182;0,371618;0,335893;0,398562;0,312656;0,400346;9,88639
rw;rw;32;0;50;5;585428;616801;549800;699488;548700;700209;12,4638;1708,15;1641,02;1429,62;1818,85;1428,14;1822,49;12,0791;0,384089;0,437079;0,371221;0,529432;0,362726;0,5502;19,664
rw;rw;4;0;0;5;2,90356e+06;2,71094e+06;1,8703e+06;3,45527e+06;1,77096e+06;3,50131e+06;29,6393;344,405;399,141;289,465;536,186;285,607;564,666;32,2476;0,686974;0,648694;0,493723;0,784525;0,474247;0,786932;22,7567
rw;rw;4;0;100;5;5,74047e+06;6,43226e+06;5,47411e+06;7,73631e+06;5,4493e+06;7,91623e+06;18,6911;174,202;159,645;129,331;182,682;126,323;183,51;17,524;0,499637;0,482828;0,456039;0,501213;0,429355;0,50227;6,40059
rw;rw;4;0;50;5;2,99633e+06;2,89212e+06;2,63554e+06;3,09659e+06;2,45842e+06;3,12098e+06;9,31124;333,742;348,391;322,956;381,15;320,412;406,765;10,1279;0,581127;0,623556;0,55621;0,712116;0,53961;0,806886;17,0232
rw;rw;6;0;0;5;2,5604e+06;2,16445e+06;1,4575e+06;2,67342e+06;1,43666e+06;2,74822e+06;29,9996;390,563;502,35;374,346;686,247;363,872;696,058;33,5048;0,505593;0,507434;0,475918;0,53987;0,447888;0,562397;8,05362
rw;rw;6;0;100;5;5,29172e+06;5,30475e+06;5,20555e+06;5,41047e+06;5,13974e+06;5,44402e+06;2,17231;188,975;188,582;184,834;192,133;183,688;194,562;2,18479;0,51378;0,569285;0,507526;0,658795;0,505674;0,787949;21,5319
rw;rw;6;0;50;5;2,37914e+06;2,39559e+06;2,31106e+06;2,48834e+06;2,25902e+06;2,53144e+06;4,22092;420,32;418,03;401,995;432,921;395,032;442,67;4,22883;0,841572;0,743129;0,579933;0,857103;0,545407;0,868905;20,3635
rw;rw;8;0;0;5;1,32195e+06;1,54212e+06;1,17615e+06;2,01818e+06;1,16399e+06;2,11853e+06;28,8189;756,46;690,112;496,725;850,324;472,026;859,111;26,3141;0,352901;0,337342;0,174522;0,492383;0,119729;0,49355;48,5613
rw;rw;8;0;100;5;5,39145e+06;5,53622e+06;5,24619e+06;5,89864e+06;5,14769e+06;6,04019e+06;6,45834;185,479;181,22;169,628;190,682;165,558;194,262;6,32;0,500745;0,508792;0,47724;0,544367;0,461918;0,587814;9,23537
rw;rw;8;0;50;5;1,74962e+06;1,68444e+06;1,45575e+06;1,88054e+06;1,45374e+06;1,96357e+06;13,26;571,553;602,203;532,799;686,932;509,277;687,883;13,3981;0,636591;0,644671;0,582204;0,711179;0,566718;0,767841;11,9191
tas;mutex;1;0;100;5;1,13218e+08;1,1334e+08;1,13155e+08;1,13588e+08;1,13144e+08;1,13652e+08;0,204451;8,83253;8,82301;8,80379;8,83747;8,79879;8,83828;0,204269;1;1;1;1;1;1;0
tas;mutex;16;0;100;5;1,32475e+06;1,31083e+06;1,26898e+06;1,34573e+06;1,24386e+06;1,35412e+06;3,31119;754,86;763,558;743,119;788,345;738,485;803,948;3,38349;0,512066;0,527055;0,440763;0,620842;0,433945;0,667975;18,3084
tas;mutex;2;0;100;5;2,23652e+07;2,23969e+07;2,22294e+07;2,25801e+07;2,21251e+07;2,26779e+07;0,907255;44,7122;44,652;44,2875;44,9864;44,0957;45,1976;0,906756;0,124801;0,220668;0,12349;0,36578;0,122928;0,606221;97,6726
tas;mutex;32;0;100;5;754191;756792;736420;778466;733253;790410;3,01442;1325,92;1322,32;1284,88;1357,95;1265,17;1363,79;2,97746;0,268741;0,237228;0,155948;0,302751;0,125876;0,303642;33,0595
tas;mutex;4;0;100;5;6,33874e+06;6,16007e+06;5,72125e+06;6,50957e+06;5,7022e+06;6,5482e+06;6,61936;157,76;162,918;153,625;174,789;152,714;175,371;6,74832;0,539887;0,527407;0,487715;0,56086;0,462297;0,568517;7,90586
tas;mutex;6;0;100;5;3,60543e+06;3,54095e+06;3,43784e+06;3,61181e+06;3,43284e+06;3,61591e+06;2,66225;277,359;282,572;276,87;290,881;276,556;291,304;2,68835;0,484744;0,459931;0,395765;0,51169;0,357828;0,526489;14,3913
tas;mutex;8;0;100;5;2,66566e+06;2,64348e+06;2,52917e+06;2,74669e+06;2,48575e+06;2,75146e+06;4,30269;375,142;378,86;364,075;395,503;363,444;402,294;4,37315;0,486182;0,531228;0,397617;0,687361;0,35758;0,827447;33,7977
ticket;mutex;1;0;100;5;1,15413e+08;1,15459e+08;1,1517e+08;1,15772e+08;1,15125e+08;1,15855e+08;0,268215;8,66453;8,66111;8,63765;8,68285;8,63147;8,68623;0,268086;1;1;1;1;1;1;0
ticket;mutex;16;0;100;5;1,6123e+06;1,56782e+06;1,47719e+06;1,63622e+06;1,44794e+06;1,64917e+06;5,50604;620,232;639,418;611,205;677,225;606,365;690,634;5,65252;0,999646;0,999564;0,999124;0,999963;0,998792;0,999979;0,0483301
ticket;mutex;2;0;100;5;6,35441e+06;6,34399e+06;6,29601e+06;6,38677e+06;6,27914e+06;6,39384e+06;0,74945;157,371;157,637;156,574;158,832;156,401;159,257;0,751206;0,627996;0,648451;0,51354;0,79359;0,413531;0,958107;30,169
ticket;mutex;32;0;100;5;1,27894e+06;1,30241e+06;1,25668e+06;1,35988e+06;1,23882e+06;1,37518e+06;4,28257;781,897;768,924;735,454;795,907;727,177;807,217;4,24307;0,999984;0,999917;0,999808;0,999991;0,999775;0,999992;0,0101902
ticket;mutex;4;0;100;5;2,82569e+06;2,7454e+06;2,35168e+06;3,09897e+06;2,01959e+06;3,15903e+06;16,2313;353,896;373,455;322,809;433,88;316,553;495,15;19,1232;0,993594;0,986021;0,969067;0,999188;0,948876;0,999564;2,14817
ticket;mutex;6;0;100;5;2,28624e+06;2,19935e+06;1,87233e+06;2,48293e+06;1,85105e+06;2,49955e+06;14,0828;437,4;462,252;402,767;534,163;400,072;540,233;14,5624;0,998747;0,9949;0,988004;0,999874;0,985574;0,999967;0,657585
ticket;mutex;8;0;100;5;1,99914e+06;1,97644e+06;1,81191e+06;2,12961e+06;1,75562e+06;2,19929e+06;8,67626;500,214;509,046;470,074;552,436;454,692;569,599;8,75418;0,998159;0,998638;0,997719;0,999797;0,997637;0,999931;0,107999
ttas;mutex;1;0;100;5;1,1282e+08;1,12759e+08;1,12518e+08;1,12968e+08;1,12353e+08;1,13069e+08;0,235393;8,86371;8,86854;8,85205;8,88745;8,84417;8,90049;0,235657;1;1;1;1;1;1;0
ttas;mutex;16;0;100;5;2,60199e+06;2,59868e+06;2,51021e+06;2,68549e+06;2,47227e+06;2,71556e+06;3,62139;384,322;385,217;372,418;398,464;368,247;404,487;3,64066;0,50997;0,503307;0,44742;0,555862;0,44422;0,564055;10,8688
ttas;mutex;2;0;100;5;2,09693e+07;2,103e+07;2,06246e+07;2,14657e+07;2,04339e+07;2,14695e+07;2,10626;47,6889;47,5681;46,586;48,4899;46,5778;48,9384;2,11417;0,219528;0,269801;0,154073;0,410666;0,151807;0,592391;68,1061
ttas;mutex;32;0;100;5;1,83997e+06;1,85194e+06;1,82176e+06;1,88811e+06;1,82049e+06;1,89457e+06;1,84472;543,488;540,12;529,635;548,92;527,824;549,304;1,83498;0,217877;0,228687;0,197399;0,265381;0,192354;0,311942;20,9191
ttas;mutex;4;0;100;5;6,63153e+06;6,75207e+06;6,45187e+06;7,11255e+06;6,43689e+06;7,15783e+06;5,01813;150,795;148,398;140,602;154,995;139,707;155,355;4,95402;0,462361;0,474836;0,38923;0,56668;0,367982;0,577878;19,0812
ttas;mutex;6;0;100;5;4,87432e+06;4,95036e+06;4,84956e+06;5,08918e+06;4,84434e+06;5,1903e+06;2,94734;205,157;202,142;196,573;206,204;192,667;206,427;2,87116;0,453769;0,469502;0,400005;0,546865;0,381681;0,60805;18,4567
ttas;mutex;8;0;100;5;4,12032e+06;4,11608e+06;3,99878e+06;4,23126e+06;3,95176e+06;4,28616e+06;3,08548;242,699;243,135;236,376;250,111;233,309;253,052;3,08461;0,510293;0,51593;0,360981;0,673696;0,346514;0,747049;31,9973
